Symbol,Date,Open
wmb,3397,45.903
wmb,3418,41.486999999999995
wmb,3438,49.568000000000005
wmb,3468,45.917
wmb,3489,43.552
wmb,3510,37.861
wmb,3530,32.747
wmb,3601,26.015
wmb,3642,13.902999999999999
wmb,3663,10.879000000000001
wmb,3682,14.534
wmb,3712,14.651
wmb,3733,17.647000000000002
wmb,3753,18.04
wmb,3774,20.394000000000002
wmb,3824,24.584
wmb,3845,25.038
wmb,3866,26.846999999999998
wmb,3916,29.104
wmb,3937,29.524
wmb,3957,30.409000000000002
wmb,3998,27.989
wmb,4019,28.41
wmb,4067,28.584
wmb,4088,30.206999999999997
wmb,4108,30.316
wmb,4138,28.158
wmb,4159,28.58
wmb,4179,30.44
wmc,2302,6.6309
wmc,2323,7.0637
wmc,2373,7.4563
wmc,2394,7.9453
wmc,2415,8.1135
wmc,2435,8.649
wmc,2465,8.102
wmc,2486,7.5172
wmc,2506,8.0651
wmc,2568,8.7629
wmc,2586,8.8625
wmc,2820,7.9099
wmc,2841,7.4744
wmc,2891,8.4326
wmc,2971,9.357000000000001
wmc,2992,8.5319
wmc,3012,8.6972
wmc,3083,8.5203
wmc,3104,8.4226
wmc,3326,10.235
wmc,3347,10.234
wmc,3397,10.86
wmc,3418,10.895999999999999
wmc,3438,11.043
wmc,3468,10.581
wmc,3489,9.926
wmc,3510,9.4075
wmc,3530,9.323
wmc,3601,8.5275
wmc,3642,7.2581
wmc,3663,7.7014
wmc,3682,8.4644
wmc,3712,8.4149
wmc,3733,8.5265
wmc,3753,7.9856
wmc,3774,7.9426
wmc,3824,8.6472
wmc,3845,9.667
wmc,3866,9.3657
wmc,3916,9.0881
wmc,3937,9.389
wmc,3957,9.855
wmc,3998,9.689
wmc,4019,9.4347
wmc,4067,9.4065
wmc,4088,9.829
wmc,4108,10.276
wmc,4138,9.926
wmc,4159,10.276
wmc,4179,10.21
wmk,0,34.843
wmk,21,35.091
wmk,181,32.596
wmk,202,32.735
wmk,223,32.077
wmk,273,33.643
wmk,294,33.48
wmk,314,33.305
wmk,394,35.75
wmk,465,34.801
wmk,486,35.495
wmk,699,32.821
wmk,710,31.474
wmk,731,31.043000000000003
wmk,801,28.32
wmk,821,25.299
wmk,892,29.947
wmk,913,31.753
wmk,1135,19.815
wmk,1156,25.264
wmk,1206,29.219
wmk,1227,29.119
wmk,1247,27.767
wmk,1277,28.016
wmk,1298,25.818
wmk,1319,27.245
wmk,1339,26.191
wmk,1410,29.864
wmk,1451,30.02
wmk,1472,26.99
wmk,1490,28.37
wmk,1520,30.011999999999997
wmk,1541,31.357
wmk,1561,30.953000000000003
wmk,1582,27.66
wmk,1632,28.658
wmk,1653,29.186999999999998
wmk,1674,29.226
wmk,1724,32.943000000000005
wmk,1745,32.341
wmk,1765,32.606
wmk,1795,33.453
wmk,1806,32.606
wmk,1827,32.993
wmk,1875,32.359
wmk,1896,33.1
wmk,1946,33.150999999999996
wmk,1967,32.902
wmk,1987,34.43
wmk,2008,33.894
wmk,2038,32.753
wmk,2059,32.086
wmk,2079,32.728
wmk,2100,33.471
wmk,2150,35.593
wmk,2191,36.760999999999996
wmk,2212,38.004
wmk,2302,39.397
wmk,2323,38.02
wmk,2373,38.39
wmk,2394,38.879
wmk,2415,37.244
wmk,2435,37.519
wmk,2465,36.36
wmk,2486,34.225
wmk,2506,34.617
wmk,2568,37.045
wmk,2586,36.262
wmk,2820,46.196999999999996
wmk,2841,44.924
wmk,2891,47.166000000000004
wmk,2971,46.498999999999995
wmk,2992,44.346000000000004
wmk,3012,42.711999999999996
wmk,3083,40.936
wmk,3104,39.87
wmk,3326,46.198
wmk,3347,46.896
wmk,3397,41.438
wmk,3418,40.961999999999996
wmk,3438,40.202
wmk,3468,39.475
wmk,3489,39.273
wmk,3510,41.19
wmk,3530,39.963
wmk,3601,39.806999999999995
wmk,3642,39.191
wmk,3663,36.514
wmk,3682,40.649
wmk,3712,44.247
wmk,3733,45.325
wmk,3753,46.541000000000004
wmk,3774,49.105
wmk,3824,51.985
wmk,3845,50.982
wmk,3866,50.302
wmk,3916,54.437
wmk,3937,58.803999999999995
wmk,3957,54.993
wmk,3998,65.148
wmk,4019,58.952
wmk,4067,60.355
wmk,4088,61.131
wmk,4108,57.788000000000004
wmk,4138,52.44
wmk,4159,47.72
wmk,4179,47.38
wms,3104,15.124
wms,3326,27.371
wms,3347,29.346999999999998
wms,3397,28.886999999999997
wms,3418,30.808000000000003
wms,3438,28.927
wms,3468,27.436
wms,3489,27.28
wms,3510,29.449
wms,3530,28.399
wms,3601,21.753
wms,3642,19.953
wms,3663,18.016
wms,3682,19.317
wms,3712,20.785
wms,3733,23.595
wms,3753,23.478
wms,3774,23.921
wms,3824,26.991
wms,3845,24.926
wms,3866,23.145
wms,3916,20.361
wms,3937,21.5
wms,3957,20.271
wms,3998,21.016
wms,4019,24.146
wms,4067,21.87
